targetId,resourceId,siteId,ip,method,port,internalPort,enabled,path,pathMatchType
1,1,1,middleware-manager,http,3456,,t,,
2,2,1,localhost,http,8080,,t,,
3,3,1,komodo-core-1,http,9120,,t,,
4,4,1,nlweb,http,8000,,t,,
5,5,1,frontend,http,80,,t,,
