targetId,resourceId,siteId,ip,method,port,internalPort,enabled,path,pathMatchType,rewritePath,rewritePathType,priority
1,1,1,middleware-manager,http,3456,,t,,,,,100
2,2,1,crowdsec-manager,http,8080,,t,,,,,100
6,6,1,mcpauth,http,11000,,t,,,,,100
8,8,1,host.docker.internal,http,3000,,t,,,,,100
